Month,Day,Title,Link,List,Year,Genres,Budget,Box office
1,2.0,The Woman in Black: Angel of Death,/wiki/The_Woman_in_Black:_Angel_of_Death,"['supernatural horror', '$15 million[6]', '$48.9 million[1]']",2015.0,supernatural horror,$15 million[6],$48.9 million[1]
1,9.0,Taken 3,/wiki/Taken_3,"['-language French action-thriller', '$48 million[2]', '$326.4 million[2]']",2015.0,-language French action-thriller,$48 million[2],$326.4 million[2]
1,16.0,Blackhat,/wiki/Blackhat_(film),"[' action thriller', '$70 million[3]', '$19.7 million[3]']",2015.0, action thriller,$70 million[3],$19.7 million[3]
1,16.0,Spare Parts,/wiki/Spare_Parts_(2015_film),"['drama', '$4 million[2]', '$3.6 million[3]']",2015.0,drama,$4 million[2],$3.6 million[3]
1,16.0,The Wedding Ringer,/wiki/The_Wedding_Ringer,"[' buddy romantic comedy', '$23 million[4]', '$79.8 million[4]']",2015.0, buddy romantic comedy,$23 million[4],$79.8 million[4]
1,23.0,The Boy Next Door,/wiki/The_Boy_Next_Door_(film),"[' erotic thriller', '$4 million[3][4]', '$52.4 million[4]']",2015.0, erotic thriller,$4 million[3][4],$52.4 million[4]
1,23.0,The Humbling,/wiki/The_Humbling_(film),"['comedy-drama', '$2 million', '$400,000[1]']",2015.0,comedy-drama,$2 million,"$400,000[1]"
1,23.0,Mortdecai,/wiki/Mortdecai_(film),"[' action comedy', '$60 million[2]', '$47.3 million[3]']",2015.0, action comedy,$60 million[2],$47.3 million[3]
1,23.0,Song One,/wiki/Song_One,"[' romantic drama', '$6 million[1]', '$408,918[2]']",2015.0, romantic drama,$6 million[1],"$408,918[2]"
1,23.0,Strange Magic,/wiki/Strange_Magic_(film),"[' animated jukebox musical fantasy', '$70–100 million[2]', '$13.6 million[3]']",2015.0, animated jukebox musical fantasy,$70–100 million[2],$13.6 million[3]
1,30.0,Black or White,/wiki/Black_or_White_(film),"[' drama', '$9 million[1]', '$21.7 million[2]']",2015.0, drama,$9 million[1],$21.7 million[2]
1,30.0,The Loft,/wiki/The_Loft_(film),"['-language Belgian', '$13 million[1]', '$11 million[2]']",2015.0,-language Belgian,$13 million[1],$11 million[2]
1,30.0,Project Almanac,/wiki/Project_Almanac,"[' found footage science fiction', '$12 million[2]', '$33.2 million[3]']",2015.0, found footage science fiction,$12 million[2],$33.2 million[3]
1,30.0,Wild Card,/wiki/Wild_Card_(2015_film),"[' action thriller', '$30\xa0million[2]', '$6.7 million[3]']",2015.0, action thriller,$30 million[2],$6.7 million[3]
2,6.0,Jupiter Ascending,/wiki/Jupiter_Ascending,"['space opera', '$176–210\xa0million[3][4]', '$184\xa0million[3]']",2015.0,space opera,$176–210 million[3][4],$184 million[3]
2,6.0,Seventh Son,/wiki/Seventh_Son_(film),"['  action fantasy', '$95–110 million[4][5]', '$114.2 million[6]']",2015.0,  action fantasy,$95–110 million[4][5],$114.2 million[6]
2,6.0,The SpongeBob Movie: Sponge Out of Water,/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,"[' live-action/animated adventure comedy', '$60–74 million[4][5]', '$325.2 million[4]']",2015.0, live-action/animated adventure comedy,$60–74 million[4][5],$325.2 million[4]
2,6.0,The Voices,/wiki/The_Voices,"['comedy horror', '$11 million[3]', '$2.2 million[4]']",2015.0,comedy horror,$11 million[3],$2.2 million[4]
2,10.0,Accidental Love,/wiki/Accidental_Love,"[' romantic comedy', '$26 million', '$139,436']",2015.0, romantic comedy,$26 million,"$139,436"
2,13.0,Fifty Shades of Grey,/wiki/Fifty_Shades_of_Grey_(film),"[' erotic romantic drama', '$40 million[3]', '$569.7 million[3]']",2015.0, erotic romantic drama,$40 million[3],$569.7 million[3]
2,13.0,Kingsman: The Secret Service,/wiki/Kingsman:_The_Secret_Service,"['spy action comedy', '$81–94 million[4][5][6]', '$414.4 million[4]']",2015.0,spy action comedy,$81–94 million[4][5][6],$414.4 million[4]
2,13.0,The Last Five Years,/wiki/The_Last_Five_Years_(film),"[' musical romantic comedy-drama', '$2 million[4]', '$145,427[5]']",2015.0, musical romantic comedy-drama,$2 million[4],"$145,427[5]"
2,20.0,The DUFF,/wiki/The_DUFF,"[' high school teen comedy', '$8.5million[4]', '$43.7million[4]']",2015.0, high school teen comedy,$8.5million[4],$43.7million[4]
2,20.0,Hot Tub Time Machine 2,/wiki/Hot_Tub_Time_Machine_2,"[' science-fiction comedy', '$14–18 million[4][5]', '$13.1 million[4]']",2015.0, science-fiction comedy,$14–18 million[4][5],$13.1 million[4]
2,20.0,"McFarland, USA","/wiki/McFarland,_USA","[' sports drama', '$17 million[2]', '$45.7 million[3]']",2015.0, sports drama,$17 million[2],$45.7 million[3]
2,27.0,Focus,/wiki/Focus_(2015_film),"[' crime comedy-drama', '$50.1–65 million[3][4]', '$158.8 million[5]']",2015.0, crime comedy-drama,$50.1–65 million[3][4],$158.8 million[5]
